Station ID, Station Name, First Year,  Last Year,  Year Range,  % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr), MSL Trends (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
297-021,"Constantza, Romania",1933,1997,65,95,1.37,0.97,0.45,0.32,44.1667,28.6667
298-041,"Sevastopol, Ukraine",1910,1994,85,97,1.26,0.78,0.41,0.25,44.6167,33.5333
300-001,"Tuapse, Russia",1917,2010,94,99,2.44,0.58,0.80,0.19,44.1000,39.0667
305-021,"Poti, Georgia",1874,2009,136,94,6.59,0.29,2.16,0.10,42.1667,41.6833
340-001,"Ceuta, Spain",1944,2009,66,96,0.52,0.29,0.17,0.10,35.9000,-5.3167
360-001,"Ponta Delgada, Portugal",1978,2007,30,69,2.58,1.01,0.85,0.33,37.7333,-25.6667
410-001,"Takoradi, Ghana",1929,2011,83,48,2.16,0.39,0.71,0.13,4.8833,-1.7500
427-001,"Walvis Bay, Namibia",1958,2011,54,51,0.60,1.02,0.20,0.34,-22.9500,14.5000
430-061,"Simons Bay, South Africa",1957,2011,55,79,1.94,0.27,0.64,0.09,-34.1833,18.4333
430-088,"Port Elizabeth, South Africa",1978,2011,34,79,2.39,1.11,0.79,0.37,-33.9667,25.6333
430-091,"Durban, South Africa",1971,2011,41,72,1.23,0.70,0.40,0.23,-29.8833,31.0000
485-001,"Aden, Yemen",1879,2011,133,50,3.02,0.22,0.99,0.07,12.7833,44.9833
490-021,"Karachi, Pakistan",1916,2011,96,54,1.12,0.54,0.37,0.18,24.8000,66.9667
500-011,"Kandla, India",1952,2008,57,82,2.06,0.60,0.68,0.20,23.0167,70.2167
500-041,"Mumbai/Bombay, India",1878,2008,131,91,0.79,0.11,0.26,0.04,18.9167,72.8333
500-065,"Marmagao, India",1969,2008,40,64,0.91,0.51,0.30,0.17,15.4167,73.8000
500-081,"Cochin, India",1939,2007,69,93,1.71,0.36,0.56,0.12,9.9667,76.2667
500-091,"Chennai/Madras, India",1916,2008,93,59,0.32,0.37,0.10,0.12,13.1000,80.3000
500-101,"Vishakhapatnam, India",1937,2007,71,86,0.79,0.45,0.26,0.15,17.6833,83.2833
500-106,"Paradip, India",1966,2008,43,74,0.77,1.13,0.25,0.37,20.2667,86.7000
500-109,"Gangra, India",1974,2006,33,96,1.45,1.31,0.47,0.43,21.9500,88.0167
500-110,"Haldia, India",1970,2008,39,93,2.59,1.00,0.85,0.33,22.0333,88.1000
500-131,"Diamond Harbour, India",1948,2007,60,96,4.67,0.68,1.53,0.22,22.2000,88.1667
540-001,"Port Blair, India",1916,1964,49,29,2.05,0.75,0.67,0.24,11.6833,92.7667
